0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
75.2600,0.0124,41.2400,-0.0292,193.6500,0.0055,91.7600,0.0072,46.4400,-0.0081,270.4800,0.0058,502.6800,-0.0067,95.3000,0.0028,52.4100,0.0171,36.4200,0.0248,141.0100,-0.0006,67.3100,0.0087,37.5100,0.0051,27.2500,0.0078,21.3000,0.0085,12.2500,0.0132,34.2700,-0.0017,20.9500,-0.0038,523.3500,0.0040,72.9000,0.0044,83.9400,-0.0045,45.1700,0.0280,65.0500,0.0186,114.7400,0.0068,11.2800,-0.0424
75.0400,-0.0029,41.6600,0.0102,194.4700,0.0042,92.2600,0.0054,46.4600,0.0004,272.1200,0.0061,500.0000,-0.0053,95.1600,-0.0015,52.3400,-0.0013,37.3200,0.0247,144.4500,0.0244,67.8100,0.0074,37.7000,0.0051,27.2500,0.0000,22.0400,0.0347,12.1700,-0.0065,34.4600,0.0055,21.0150,0.0031,521.0000,-0.0045,73.2300,0.0045,82.0800,-0.0222,45.6700,0.0111,65.4700,0.0065,115.2400,0.0044,11.1400,-0.0124
74.1600,-0.0117,41.7800,0.0029,196.0800,0.0083,92.9500,0.0075,46.5400,0.0017,270.1900,-0.0071,504.7700,0.0095,95.9100,0.0079,52.7300,0.0075,36.4200,-0.0241,145.9500,0.0104,68.4000,0.0087,37.1300,-0.0151,27.1500,-0.0037,22.0100,-0.0014,12.1100,-0.0049,34.8500,0.0113,20.8700,-0.0069,519.7600,-0.0024,72.6900,-0.0074,83.2900,0.0147,46.2000,0.0116,65.7500,0.0043,115.9100,0.0058,11.3500,0.0189
74.2900,0.0018,42.0200,0.0057,204.7200,0.0441,93.4800,0.0057,46.2300,-0.0067,268.1100,-0.0077,514.0050,0.0183,96.4800,0.0059,53.9500,0.0231,37.8000,0.0379,145.5600,-0.0027,68.2700,-0.0019,37.1300,0.0000,27.6100,0.0169,21.9400,-0.0032,12.1300,0.0017,34.9000,0.0014,20.6200,-0.0120,517.5600,-0.0042,72.8500,0.0022,83.0700,-0.0026,45.9000,-0.0065,66.4600,0.0108,115.0100,-0.0078,11.4200,0.0062
75.3200,0.0139,42.8000,0.0186,204.4200,-0.0015,93.3100,-0.0018,46.3700,0.0030,273.6200,0.0206,450.5000,-0.1235,97.3100,0.0086,53.9500,0.0000,37.4600,-0.0090,144.9600,-0.0041,68.2400,-0.0004,37.1100,-0.0005,27.6300,0.0007,22.0500,0.0050,12.1900,0.0049,35.8100,0.0261,21.0200,0.0194,522.2600,0.0091,73.1000,0.0034,82.6200,-0.0054,46.4500,0.0120,67.3500,0.0134,115.5000,0.0043,11.5300,0.0096
75.0300,-0.0039,42.9100,0.0026,204.9700,0.0027,93.7200,0.0044,47.1600,0.0170,283.9900,0.0379,439.8800,-0.0236,97.3900,0.0008,54.3800,0.0080,37.6000,0.0037,144.4600,-0.0034,68.3300,0.0013,37.0500,-0.0016,27.8800,0.0090,22.2900,0.0109,12.4100,0.0180,36.6900,0.0246,21.1500,0.0062,519.4200,-0.0054,73.9200,0.0112,83.4200,0.0097,46.4200,-0.0006,67.8200,0.0070,116.2000,0.0061,11.6200,0.0078
74.0000,-0.0137,42.3400,-0.0133,204.9300,-0.0002,94.3600,0.0068,46.6400,-0.0110,276.0400,-0.0280,449.8300,0.0226,97.1200,-0.0028,54.3600,-0.0004,36.8900,-0.0189,144.1500,-0.0021,68.9200,0.0086,37.0100,-0.0011,27.9110,0.0011,22.5000,0.0094,12.6100,0.0161,36.4100,-0.0076,21.0600,-0.0043,514.1200,-0.0102,73.6200,-0.0041,85.5900,0.0260,46.4900,0.0015,67.5800,-0.0035,116.0400,-0.0014,11.4800,-0.0120
73.6500,-0.0047,42.1600,-0.0043,203.9000,-0.0050,94.9200,0.0059,47.1200,0.0103,260.3500,-0.0568,458.2700,0.0188,97.2400,0.0012,53.9900,-0.0068,37.3100,0.0114,147.1000,0.0205,69.0900,0.0025,37.4200,0.0111,28.0100,0.0035,22.5000,0.0000,12.3400,-0.0214,36.5400,0.0036,20.7800,-0.0133,518.4800,0.0085,74.4100,0.0107,86.5900,0.0117,46.6400,0.0032,67.2000,-0.0056,117.2100,0.0101,11.4900,0.0009
74.5900,0.0128,41.9500,-0.0050,203.5200,-0.0019,94.6700,-0.0026,47.1300,0.0002,272.7640,0.0477,456.8300,-0.0031,96.8800,-0.0037,53.7900,-0.0037,36.9300,-0.0102,147.1500,0.0003,68.6700,-0.0061,37.5000,0.0021,27.8500,-0.0057,22.2300,-0.0120,12.3200,-0.0016,36.6200,0.0022,20.5800,-0.0096,516.0000,-0.0048,74.0900,-0.0043,85.3800,-0.0140,46.6600,0.0004,67.2400,0.0006,116.4500,-0.0065,11.3800,-0.0096
73.8700,-0.0097,42.1600,0.0050,203.0700,-0.0022,95.2900,0.0065,47.0500,-0.0017,265.5000,-0.0266,455.4900,-0.0029,96.9300,0.0005,53.8800,0.0017,36.6900,-0.0065,147.8600,0.0048,68.2400,-0.0063,37.2400,-0.0069,27.4500,-0.0144,22.2800,0.0022,12.2600,-0.0049,36.1400,-0.0131,20.5700,-0.0005,518.4000,0.0047,73.9200,-0.0023,85.4600,0.0009,46.6000,-0.0013,66.9200,-0.0048,115.1500,-0.0112,11.3200,-0.0053
74.8700,0.0135,43.0200,0.0204,205.1800,0.0104,95.9500,0.0069,47.8500,0.0170,265.0000,-0.0019,453.6200,-0.0041,98.0000,0.0110,54.5900,0.0132,37.1800,0.0134,149.9000,0.0138,69.1500,0.0133,37.5400,0.0081,27.9300,0.0175,22.6200,0.0153,12.3700,0.0090,36.9100,0.0213,20.8300,0.0126,518.7100,0.0006,74.1800,0.0035,86.3000,0.0098,46.9200,0.0069,67.3000,0.0057,116.5000,0.0117,11.7100,0.0345
75.2100,0.0045,42.2100,-0.0188,203.7900,-0.0068,94.6000,-0.0141,47.6800,-0.0036,259.9800,-0.0189,442.3160,-0.0249,96.5100,-0.0152,53.9000,-0.0126,37.2800,0.0027,147.5200,-0.0159,68.5600,-0.0085,37.3500,-0.0051,27.4400,-0.0175,22.3100,-0.0137,12.1600,-0.0170,36.5200,-0.0106,20.8200,-0.0005,514.2200,-0.0087,74.1100,-0.0009,85.7400,-0.0065,46.2500,-0.0143,66.3600,-0.0140,115.2000,-0.0112,11.4800,-0.0196
75.8900,0.0090,42.9200,0.0168,202.7900,-0.0049,94.9100,0.0033,48.7900,0.0233,266.8900,0.0266,457.8440,0.0351,97.9100,0.0145,54.2900,0.0072,37.2000,-0.0021,150.4500,0.0199,69.8800,0.0193,38.1400,0.0212,27.4950,0.0020,22.5400,0.0103,12.4400,0.0230,36.5100,-0.0003,21.0800,0.0125,520.6900,0.0126,74.6600,0.0074,86.5300,0.0092,46.7700,0.0112,66.3900,0.0005,115.8100,0.0053,11.8800,0.0348
76.2900,0.0053,43.0500,0.0030,201.0200,-0.0087,95.0700,0.0017,48.6100,-0.0037,262.2200,-0.0175,457.3500,-0.0011,97.8300,-0.0008,54.5200,0.0042,37.1400,-0.0016,151.1200,0.0045,69.9200,0.0006,38.3100,0.0045,27.3400,-0.0056,22.4400,-0.0044,12.3400,-0.0080,36.5500,0.0011,21.1900,0.0052,523.5500,0.0055,75.3900,0.0098,86.5900,0.0007,46.9500,0.0038,66.6700,0.0042,115.9100,0.0009,11.9300,0.0042
