74.34,-0.0338,42.48,-0.0021,192.59,0.0005,91.1,-0.0045,46.82,0.0101,268.93,-0.0109,506.09,0.0415,95.03,-0.0035,51.53,0.0086,35.54,0.0272,141.09,0.0406,66.73,-0.0022,37.32,0.0000,27.04,-0.0062,21.12,-0.0038,12.09,0.0092,34.33,0.0009,21.03,0.0024,521.29,-0.0029,72.58,0.0029,84.32,-0.0089,43.94,-0.0043,63.86,-0.0014,113.97,0.0047,11.78,0.0199
75.26,0.0124,41.24,-0.0292,193.65,0.0055,91.76,0.0072,46.44,-0.0081,270.48,0.0058,502.68,-0.0067,95.3,0.0028,52.41,0.0171,36.42,0.0248,141.01,-0.0006,67.31,0.0087,37.51,0.0051,27.25,0.0078,21.3,0.0085,12.25,0.0132,34.27,-0.0017,20.95,-0.0038,523.35,0.0040,72.9,0.0044,83.94,-0.0045,45.17,0.0280,65.05,0.0186,114.74,0.0068,11.28,-0.0424
75.04,-0.0029,41.66,0.0102,194.47,0.0042,92.26,0.0054,46.46,0.0004,272.12,0.0061,500.0,-0.0053,95.16,-0.0015,52.34,-0.0013,37.32,0.0247,144.45,0.0244,67.81,0.0074,37.7,0.0051,27.25,0.0000,22.04,0.0347,12.17,-0.0065,34.46,0.0055,21.015,0.0031,521.0,-0.0045,73.23,0.0045,82.08,-0.0222,45.67,0.0111,65.47,0.0065,115.24,0.0044,11.14,-0.0124
74.16,-0.0117,41.78,0.0029,196.08,0.0083,92.95,0.0075,46.54,0.0017,270.19,-0.0071,504.77,0.0095,95.91,0.0079,52.73,0.0075,36.42,-0.0241,145.95,0.0104,68.4,0.0087,37.13,-0.0151,27.15,-0.0037,22.01,-0.0014,12.11,-0.0049,34.85,0.0113,20.87,-0.0069,519.76,-0.0024,72.69,-0.0074,83.29,0.0147,46.2,0.0116,65.75,0.0043,115.91,0.0058,11.35,0.0189
74.29,0.0018,42.02,0.0057,204.72,0.0441,93.48,0.0057,46.23,-0.0067,268.11,-0.0077,514.005,0.0183,96.48,0.0059,53.95,0.0231,37.8,0.0379,145.56,-0.0027,68.27,-0.0019,37.13,0.0000,27.61,0.0169,21.94,-0.0032,12.13,0.0017,34.9,0.0014,20.62,-0.0120,517.56,-0.0042,72.85,0.0022,83.07,-0.0026,45.9,-0.0065,66.46,0.0108,115.01,-0.0078,11.42,0.0062
75.32,0.0139,42.8,0.0186,204.42,-0.0015,93.31,-0.0018,46.37,0.0030,273.62,0.0206,450.5,-0.1235,97.31,0.0086,53.95,0.0000,37.46,-0.0090,144.96,-0.0041,68.24,-0.0004,37.11,-0.0005,27.63,0.0007,22.05,0.0050,12.19,0.0049,35.81,0.0261,21.02,0.0194,522.26,0.0091,73.1,0.0034,82.62,-0.0054,46.45,0.0120,67.35,0.0134,115.5,0.0043,11.53,0.0096
75.03,-0.0039,42.91,0.0026,204.97,0.0027,93.72,0.0044,47.16,0.0170,283.99,0.0379,439.88,-0.0236,97.39,0.0008,54.38,0.0080,37.6,0.0037,144.46,-0.0034,68.33,0.0013,37.05,-0.0016,27.88,0.0090,22.29,0.0109,12.41,0.0180,36.69,0.0246,21.15,0.0062,519.42,-0.0054,73.92,0.0112,83.42,0.0097,46.42,-0.0006,67.82,0.0070,116.2,0.0061,11.62,0.0078
74.0,-0.0137,42.34,-0.0133,204.93,-0.0002,94.36,0.0068,46.64,-0.0110,276.04,-0.0280,449.83,0.0226,97.12,-0.0028,54.36,-0.0004,36.89,-0.0189,144.15,-0.0021,68.92,0.0086,37.01,-0.0011,27.911,0.0011,22.5,0.0094,12.61,0.0161,36.41,-0.0076,21.06,-0.0043,514.12,-0.0102,73.62,-0.0041,85.59,0.0260,46.49,0.0015,67.58,-0.0035,116.04,-0.0014,11.48,-0.0120
73.65,-0.0047,42.16,-0.0043,203.9,-0.0050,94.92,0.0059,47.12,0.0103,260.35,-0.0568,458.27,0.0188,97.24,0.0012,53.99,-0.0068,37.31,0.0114,147.1,0.0205,69.09,0.0025,37.42,0.0111,28.01,0.0035,22.5,0.0000,12.34,-0.0214,36.54,0.0036,20.78,-0.0133,518.48,0.0085,74.41,0.0107,86.59,0.0117,46.64,0.0032,67.2,-0.0056,117.21,0.0101,11.49,0.0009
74.59,0.0128,41.95,-0.0050,203.52,-0.0019,94.67,-0.0026,47.13,0.0002,272.764,0.0477,456.83,-0.0031,96.88,-0.0037,53.79,-0.0037,36.93,-0.0102,147.15,0.0003,68.67,-0.0061,37.5,0.0021,27.85,-0.0057,22.23,-0.0120,12.32,-0.0016,36.62,0.0022,20.58,-0.0096,516.0,-0.0048,74.09,-0.0043,85.38,-0.0140,46.66,0.0004,67.24,0.0006,116.45,-0.0065,11.38,-0.0096
