0,,1,2,,3,4,,5,6,,7,8,,9,10,,11,12,,13,14,,15,16,,17,18,,19,20,,21,22,,23,24,,25,26,,27,28,,29,30,,31,32,,33,34,,35,36,,37,38,,39,40,,41,42,,43,44,,45,46,,47,48,,49
34.27,0,-0.0081,73.66,0,-0.0115,126.33,0,-0.0194,62.02,0,-0.0088,17,0,-0.0099,100.09,0,-0.0106,163.51,0,-0.0413,14.02,1,0.0196,87.47,1,0.0149,12.13,0,-0.028,790.77,0,-0.0112,35.63,0,-0.0315,41.79,0,-0.0281,101.75,0,-0.0173,72.19,0,-0.0077,149.98,0,-0.0159,53.02,0,-0.0103,53.21,0,-0.0177,157.37,0,-0.0147,26.29,0,-0.0027,53.3,0,-0.0215,24.6,0,-0.0164,45.72,1,0.007,34.79,0,-0.0288,87.7,0,-0.0168
34.06,0,-0.0061,75.51,1,0.0251,126.53,1,0.0016,61.92,0,-0.0016,17.09,1,0.0053,99.45,0,-0.0064,163.36,0,-0.0009,13.9,0,-0.0086,87.83,1,0.0041,12.34,1,0.0173,790.13,0,-0.0008,36.13,1,0.014,42.75,1,0.023,102.31,1,0.0055,72.27,1,0.0011,151.14,1,0.0077,53.3,1,0.0053,53.28,1,0.0013,157.88,1,0.0032,25.98,0,-0.0118,53.05,0,-0.0047,24.55,0,-0.002,46.12,1,0.0087,34.75,0,-0.0011,88.51,1,0.0092
34.26,1,0.0059,77.4,1,0.025,125.94,0,-0.0047,62.5,1,0.0094,17.12,1,0.0018,100.73,1,0.0129,166.94,1,0.0219,14.27,1,0.0266,87.72,0,-0.0013,12.76,1,0.034,799.78,1,0.0122,37.44,1,0.0363,44.05,1,0.0304,103.57,1,0.0123,71.94,0,-0.0046,151.84,1,0.0046,53.9,1,0.0113,54.57,1,0.0242,159.2,1,0.0084,26.96,1,0.0377,53.87,1,0.0155,25.16,1,0.0248,46.35,1,0.005,35.13,1,0.0109,89.53,1,0.0115
33.79,0,-0.0137,77.6,1,0.0026,124.83,0,-0.0088,62.15,0,-0.0056,17.43,1,0.0181,101.29,1,0.0056,169.22,1,0.0137,14.27,0,0,87.51,0,-0.0024,12.61,0,-0.0118,801.2,1,0.0018,40.29,1,0.0761,44.01,0,-0.0009,104,1,0.0042,71.87,0,-0.001,151.21,0,-0.0041,53.64,0,-0.0048,54.85,1,0.0051,158.86,0,-0.0021,26.71,0,-0.0093,53.45,0,-0.0078,25.14,0,-0.0008,46.53,1,0.0039,35.08,0,-0.0014,89.55,1,0.0002
33.6,0,-0.0056,78.13,1,0.0068,126.21,1,0.0111,62.37,1,0.0035,17.17,0,-0.0149,101.42,1,0.0013,182,1,0.0755,14.82,1,0.0385,87.52,1,0.0001,12.61,0,0,806.19,1,0.0062,40.1,0,-0.0047,44.28,1,0.0061,103.77,0,-0.0022,72.36,1,0.0068,151.95,1,0.0049,51.75,0,-0.0352,54.87,1,0.0004,159.99,1,0.0071,27.38,1,0.0251,53.52,1,0.0013,25.41,1,0.0107,46.72,1,0.0041,35.39,1,0.0088,89.43,0,-0.0013
34.31,1,0.0211,78.86,1,0.0093,126.65,1,0.0035,62.89,1,0.0083,17.09,0,-0.0047,103.43,1,0.0198,185.89,1,0.0214,15.65,1,0.056,87.25,0,-0.0031,12.75,1,0.0111,821.504,1,0.019,41.06,1,0.0239,44.54,1,0.0059,103.28,0,-0.0047,73.59,1,0.017,152.75,1,0.0053,50.48,0,-0.0245,55.7,1,0.0151,161.46,1,0.0092,28.82,1,0.0526,53.32,0,-0.0037,25.37,0,-0.0016,47.11,1,0.0083,35.85,1,0.013,88.95,0,-0.0054
34.67,1,0.0105,78.65,0,-0.0027,126.74,1,0.0007,64.12,1,0.0196,16.83,0,-0.0152,103.15,0,-0.0027,185.77,0,-0.0006,15.86,1,0.0134,88.1,1,0.0097,12.87,1,0.0094,838.604,1,0.0208,40.74,0,-0.0078,45.26,1,0.0162,104.45,1,0.0113,73.88,1,0.0039,153.98,1,0.0081,51.6,1,0.0222,56.51,1,0.0145,162.61,1,0.0071,29.55,1,0.0253,53.5,1,0.0034,26.68,1,0.0516,47.69,1,0.0123,35.88,1,0.0008,89.61,1,0.0074
34.27,0,-0.0115,77.5,0,-0.0146,126.23,0,-0.004,64.65,1,0.0083,16.77,0,-0.0036,102.56,0,-0.0057,186.37,1,0.0032,15.67,0,-0.012,88.25,1,0.0017,12.89,1,0.0016,831.38,0,-0.0086,41,1,0.0064,46.05,1,0.0175,104.66,1,0.002,74.17,1,0.0039,152.59,0,-0.009,51.39,0,-0.0041,57.1,1,0.0104,161.92,0,-0.0042,29.3,0,-0.0085,53.61,1,0.0021,27.005,1,0.0122,47.28,0,-0.0086,36.05,1,0.0047,89.56,0,-0.0006
34.43,1,0.0047,77.56,1,0.0008,124.75,0,-0.0117,64.56,0,-0.0014,16.84,1,0.0042,101.97,0,-0.0058,184.47,0,-0.0102,15.9,1,0.0147,87.01,0,-0.0141,12.83,0,-0.0047,832.596,1,0.0015,41,0,0,46.24,1,0.0041,104.54,0,-0.0011,73.94,0,-0.0031,150.46,0,-0.014,52.08,1,0.0134,58.25,1,0.0201,160.08,0,-0.0114,29.61,1,0.0106,53.8,1,0.0035,26.97,0,-0.0013,47.48,1,0.0042,36.42,1,0.0103,88.71,0,-0.0095
34.68,1,0.0073,77.14,0,-0.0054,124.08,0,-0.0054,64.7,1,0.0022,16.89,1,0.003,103.04,1,0.0105,185.85,1,0.0075,16.24,1,0.0214,88.04,1,0.0118,12.98,1,0.0117,831.52,0,-0.0013,41.5,1,0.0122,46.78,1,0.0117,105.71,1,0.0112,74.16,1,0.003,150.47,1,0.0001,51.14,0,-0.018,58.67,1,0.0072,160,0,-0.0005,31.35,1,0.0588,53.81,1,0.0002,27.71,1,0.0274,47.96,1,0.0101,36.5,1,0.0022,88.97,1,0.0029
