0,,1,2,,3,4,,5,6,,7,8,,9,10,,11,12,,13,14,,15,16,,17,18,,19,20,,21,22,,23,24,,25,26,,27,28,,29,30,,31,32,,33,34,,35,36,,37,38,,39,40,,41,42,,43,44,,45,46,,47,48,,49
87.99,1,0.0035,174.74,1,0.0603,27.17,0,-0.0166,72.44,0,-0.0313,35.23,0,-0.0079,39.59,0,-0.0239,61.09,0,-0.0046,34.17,0,-0.0012,62.19,0,-0.004,13.99,0,-0.0092,38.1,0,-0.0063,104.5,0,-0.0057,70.19,0,-0.0182,61.05,0,-0.0266,27.96,0,-0.0075,86.7,0,-0.006,11.18,0,-0.0045,27.88,0,-0.012,22.88,0,-0.0268,40.26,0,-0.0054,32.96,0,-0.0132,4.44,0,-0.0242,3.64,0,-0.0545,71.99,0,-0.004,69.63,0,-0.0122
88.41,1,0.0048,174.387,0,-0.002,27.51,1,0.0125,74.79,1,0.0324,35.35,1,0.0034,40.54,1,0.024,61.25,1,0.0026,34.72,1,0.0161,61.98,0,-0.0034,14.09,1,0.0071,38.51,1,0.0108,104.02,0,-0.0046,71.06,1,0.0124,64.71,1,0.06,28.59,1,0.0225,87.01,1,0.0036,11.27,1,0.0081,27.95,1,0.0025,23.4,1,0.0227,40.28,1,0.0005,33.13,1,0.0052,4.46,1,0.0045,3.8,1,0.044,72.16,1,0.0024,70.77,1,0.0164
88.68,1,0.0031,184.41,1,0.0575,27.32,0,-0.0069,73.83,0,-0.0128,35.43,1,0.0023,39.91,0,-0.0155,61.06,0,-0.0031,34.4,0,-0.0092,62.06,1,0.0013,14.56,1,0.0334,38.4,0,-0.0029,104.23,1,0.002,70.49,0,-0.008,63.33,0,-0.0213,28.52,0,-0.0024,87.6,1,0.0068,11.47,1,0.0177,28,1,0.0018,23.39,0,-0.0004,39.91,0,-0.0092,33.61,1,0.0145,4.47,1,0.0022,3.73,0,-0.0184,72.01,0,-0.0021,71.31,1,0.0076
88.17,0,-0.0058,181.962,0,-0.0133,26.96,0,-0.0132,73.81,0,-0.0003,35.27,0,-0.0045,40.36,1,0.0113,61.42,1,0.0059,34,0,-0.0116,61.95,0,-0.0018,15.11,1,0.0378,38.07,0,-0.0086,104.18,0,-0.0005,70.32,0,-0.0024,63.14,0,-0.003,28.47,0,-0.0018,87.44,0,-0.0018,11.61,1,0.0122,28.04,1,0.0014,23.1,0,-0.0124,39.42,0,-0.0123,33.54,0,-0.0021,4.42,0,-0.0112,3.82,1,0.0241,72.25,1,0.0033,71.23,0,-0.0011
88.36,1,0.0022,180.97,0,-0.0055,26.88,0,-0.003,74.59,1,0.0106,35.27,0,0,40.9,1,0.0134,62.11,1,0.0112,34.53,1,0.0156,62.3,1,0.0056,14.75,0,-0.0238,39.12,1,0.0276,105.14,1,0.0092,70.79,1,0.0067,62.75,0,-0.0062,28.57,1,0.0035,88.01,1,0.0065,11.64,1,0.0026,27.76,0,-0.01,23.32,1,0.0095,39.47,1,0.0013,33.65,1,0.0033,4.58,1,0.0362,3.92,1,0.0262,72.1,0,-0.0021,71.48,1,0.0035
87.21,0,-0.013,177.89,0,-0.017,27.14,1,0.0097,74.75,1,0.0021,35.23,0,-0.0011,40.4,0,-0.0122,60.54,0,-0.0253,34.31,0,-0.0064,62.36,1,0.001,14.46,0,-0.0197,38.64,0,-0.0123,105.29,1,0.0014,70.03,0,-0.0107,61.78,0,-0.0155,28.53,0,-0.0014,87.53,0,-0.0055,11.65,1,0.0009,27.75,0,-0.0004,23.28,0,-0.0017,39.33,0,-0.0035,34.09,1,0.0131,4.55,0,-0.0066,3.92,0,0,72.18,1,0.0011,71.4,0,-0.0011
86.93,0,-0.0032,177.95,1,0.0003,26.99,0,-0.0055,74.58,0,-0.0023,35.6,1,0.0105,40.83,1,0.0106,60.51,0,-0.0005,34.61,1,0.0087,62.7,1,0.0055,14.27,0,-0.0131,38.89,1,0.0065,107.03,1,0.0165,68.31,0,-0.0246,62.67,1,0.0144,28.55,1,0.0007,87.26,0,-0.0031,11.55,0,-0.0086,27.68,0,-0.0025,23.63,1,0.015,39.6,1,0.0069,34.31,1,0.0065,4.58,1,0.0066,4.1,1,0.0459,72.49,1,0.0043,71.4,0,0
86.94,1,0.0001,186.269,1,0.0467,27,1,0.0004,75.1,1,0.007,35.42,0,-0.0051,41.4,1,0.014,62.3,1,0.0296,34.96,1,0.0101,62.74,1,0.0006,14.66,1,0.0273,38.81,0,-0.0021,107.18,1,0.0014,68.04,0,-0.004,63.3,1,0.0101,28.67,1,0.0042,87.06,0,-0.0023,11.61,1,0.0052,27.75,1,0.0025,23.63,0,0,39.47,0,-0.0033,33.93,0,-0.0111,4.55,0,-0.0066,3.97,0,-0.0317,72.55,1,0.0008,71.39,0,-0.0001
86.91,0,-0.0003,187.4,1,0.0061,27.06,1,0.0022,74.88,0,-0.0029,35.29,0,-0.0037,41.6,1,0.0048,61.17,0,-0.0181,35.34,1,0.0109,62.45,0,-0.0046,13.99,0,-0.0457,38.61,0,-0.0052,107.35,1,0.0016,66.66,0,-0.0203,63.54,1,0.0038,27.75,0,-0.0321,87.08,1,0.0002,11.47,0,-0.0121,26.57,0,-0.0425,23.83,1,0.0085,39.21,0,-0.0066,33.99,1,0.0018,4.53,0,-0.0044,4.2,1,0.0579,72.2,0,-0.0048,70.82,0,-0.008
84.71,0,-0.0253,189.512,1,0.0113,27.29,1,0.0085,74.43,0,-0.006,35.36,1,0.002,41.6,0,0,60.4,0,-0.0126,34.66,0,-0.0192,62.96,1,0.0082,14.5,1,0.0365,38.635,1,0.0006,107.21,0,-0.0013,67.9,1,0.0186,63.11,0,-0.0068,27.76,1,0.0004,87.87,1,0.0091,11.6,1,0.0113,26.72,1,0.0056,23.87,1,0.0017,38.84,0,-0.0094,33.91,0,-0.0024,4.37,0,-0.0353,4.18,0,-0.0048,72.5,1,0.0042,69.3,0,-0.0215
