0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
32.7000,-0.0097,78.7000,-0.0078,137.9300,-0.0032,60.6200,-0.0023,17.1600,0.0094,101.5300,0.0038,169.6400,-0.0287,13.9200,0.0213,82.7400,0.0158,14.2200,-0.0056,715.1900,-0.0134,45.0600,-0.0245,40.5900,-0.0051,97.6000,0.0032,71.3100,-0.0079,147.9600,0.0020,55.0300,-0.0178,54.3500,-0.0024,159.7200,-0.0029,26.2000,0.0092,53.6600,0.0007,25.5450,-0.0239,41.5100,-0.0110,35.0900,-0.0006,89.4700,-0.0007
32.7800,0.0024,78.8700,0.0022,138.5800,0.0047,60.7400,0.0020,17.2700,0.0064,100.9600,-0.0056,171.1300,0.0088,13.8300,-0.0065,81.7400,-0.0121,14.2200,0.0000,711.3200,-0.0054,43.5200,-0.0342,41.6400,0.0259,98.0800,0.0049,71.0800,-0.0032,148.0900,0.0009,54.8200,-0.0038,54.5000,0.0028,159.9000,0.0011,25.7600,-0.0168,54.4000,0.0138,25.7100,0.0065,42.1300,0.0149,35.0300,-0.0017,90.2000,0.0082
32.7400,-0.0012,79.3500,0.0061,138.5600,-0.0001,59.7800,-0.0158,17.4500,0.0104,101.2000,0.0024,170.0200,-0.0065,13.6100,-0.0159,81.0000,-0.0091,14.1100,-0.0077,704.5100,-0.0096,43.5000,-0.0005,41.9100,0.0065,98.7400,0.0067,71.5500,0.0066,150.2600,0.0147,55.8500,0.0188,54.8100,0.0057,159.8900,-0.0001,24.7900,-0.0377,54.5600,0.0029,25.8600,0.0058,42.5400,0.0097,34.9300,-0.0029,90.8000,0.0067
32.9000,0.0049,79.2500,-0.0013,139.1500,0.0043,59.4000,-0.0064,17.3800,-0.0040,102.1500,0.0094,166.8900,-0.0184,14.0100,0.0294,80.2000,-0.0099,14.1700,0.0043,702.8700,-0.0023,44.1400,0.0147,42.0600,0.0036,99.3300,0.0060,71.9800,0.0060,150.9200,0.0044,56.5200,0.0120,54.9900,0.0033,160.9500,0.0066,25.2000,0.0165,56.0200,0.0268,25.9200,0.0023,42.9400,0.0094,35.0400,0.0031,90.9200,0.0013
32.8100,-0.0027,78.9700,-0.0035,138.9600,-0.0014,58.9300,-0.0079,17.3000,-0.0046,102.1200,-0.0003,170.4200,0.0212,13.7800,-0.0164,80.0900,-0.0014,13.8800,-0.0205,741.5000,0.0550,43.0100,-0.0256,42.2500,0.0045,99.4900,0.0016,71.7900,-0.0026,150.8200,-0.0007,55.4800,-0.0184,54.4600,-0.0096,161.5000,0.0034,25.0000,-0.0079,55.9100,-0.0020,26.1000,0.0069,42.7900,-0.0035,34.9500,-0.0026,90.7000,-0.0024
32.8000,-0.0003,79.6300,0.0084,138.3400,-0.0045,59.3000,0.0063,17.2500,-0.0029,102.8900,0.0075,172.2900,0.0110,13.9300,0.0109,80.9400,0.0106,13.8700,-0.0007,753.8300,0.0166,43.2500,0.0056,42.3900,0.0033,99.6700,0.0018,72.1000,0.0043,151.7300,0.0060,55.8300,0.0063,54.5700,0.0020,162.1600,0.0041,25.5400,0.0216,56.2200,0.0055,26.7800,0.0261,42.5900,-0.0047,35.1600,0.0060,91.3500,0.0072
32.7900,-0.0003,79.9000,0.0034,138.4200,0.0006,59.5000,0.0034,17.2100,-0.0023,102.3600,-0.0052,173.8600,0.0091,14.1700,0.0172,80.4100,-0.0065,13.6800,-0.0137,753.6700,-0.0002,43.5900,0.0079,42.5100,0.0028,100.5900,0.0092,72.5000,0.0055,152.7000,0.0064,55.8000,-0.0005,56.8100,0.0410,162.3500,0.0012,25.5000,-0.0016,56.0400,-0.0032,27.0700,0.0108,42.6700,0.0019,35.1400,-0.0006,91.7300,0.0042
33.0000,0.0064,78.8800,-0.0128,137.6400,-0.0056,59.0700,-0.0072,17.1800,-0.0017,102.4900,0.0013,178.0700,0.0242,13.9400,-0.0162,81.1100,0.0087,13.7800,0.0073,750.7300,-0.0039,40.0200,-0.0819,42.1200,-0.0092,100.6500,0.0006,72.4000,-0.0014,153.4400,0.0048,54.8700,-0.0167,56.0200,-0.0139,162.7100,0.0022,24.8000,-0.0275,55.8100,-0.0041,27.0500,-0.0007,42.7700,0.0023,35.1100,-0.0009,91.1100,-0.0068
33.3300,0.0100,78.6200,-0.0033,137.9200,0.0020,59.4500,0.0064,17.1500,-0.0017,103.3600,0.0085,174.6900,-0.0190,13.6800,-0.0187,80.7100,-0.0049,13.1400,-0.0464,753.6800,0.0039,38.6700,-0.0337,41.9000,-0.0052,101.8100,0.0115,72.6100,0.0029,154.2200,0.0051,56.4100,0.0281,55.6000,-0.0075,162.7900,0.0005,23.9600,-0.0339,56.2800,0.0084,27.3100,0.0096,43.5000,0.0171,35.2700,0.0046,91.7600,0.0071
33.2200,-0.0033,76.9500,-0.0212,135.6400,-0.0165,59.3300,-0.0020,17.0000,-0.0087,102.5300,-0.0080,172.3000,-0.0137,13.8400,0.0117,79.9900,-0.0089,12.9300,-0.0160,753.8300,0.0002,37.0900,-0.0409,41.7700,-0.0031,100.8000,-0.0099,72.0000,-0.0084,153.8200,-0.0026,55.8900,-0.0092,56.0000,0.0072,161.3800,-0.0087,24.0800,0.0050,56.0800,-0.0036,27.3800,0.0026,43.6100,0.0025,34.9700,-0.0085,90.6700,-0.0119
33.8800,0.0199,76.1500,-0.0104,129.7900,-0.0431,58.8100,-0.0088,17.4800,0.0282,102.3400,-0.0019,172.1300,-0.0010,13.8900,0.0036,79.5800,-0.0051,12.9500,0.0015,755.6900,0.0025,36.3200,-0.0208,41.4200,-0.0084,100.5500,-0.0025,72.0500,0.0007,153.9300,0.0007,56.4700,0.0104,56.1200,0.0021,160.1800,-0.0074,24.1500,0.0029,55.2100,-0.0155,27.3200,-0.0022,43.6100,0.0000,34.8300,-0.0040,89.9700,-0.0077
33.8700,-0.0003,76.6500,0.0066,126.1100,-0.0284,59.9100,0.0187,17.5500,0.0040,104.1500,0.0177,175.0600,0.0170,13.8200,-0.0050,79.6100,0.0004,13.0200,0.0054,775.6000,0.0263,35.0700,-0.0344,42.3500,0.0225,101.5600,0.0100,72.2800,0.0032,155.5000,0.0102,58.0000,0.0271,56.8600,0.0132,161.9700,0.0112,24.1800,0.0012,55.7700,0.0101,27.3000,-0.0007,44.5600,0.0218,35.1300,0.0086,90.0400,0.0008
33.5000,-0.0109,76.4600,-0.0025,125.9300,-0.0014,59.4100,-0.0083,17.2200,-0.0188,102.4800,-0.0160,172.7600,-0.0131,13.8600,0.0029,79.2500,-0.0045,12.8800,-0.0108,759.0200,-0.0214,35.5400,0.0134,42.1200,-0.0054,100.7700,-0.0078,71.9900,-0.0040,156.3900,0.0057,56.6300,-0.0236,56.0900,-0.0135,162.5100,0.0033,23.9500,-0.0095,55.7500,-0.0004,26.9700,-0.0121,44.5200,-0.0009,34.7600,-0.0105,89.1500,-0.0099
